id_flat,year,month,water_status,heat_status
1850_1,2024,12,,49.332
1850_2,2024,12,44.448,739.504
1850_3,2024,12,57.354,291.679
1850_4,2024,12,43.117,443.676
1850_5,2024,12,29.642,357.076
1850_6,2024,12,37.944,375.966
1850_7,2024,12,63.645,68.381
1850_8,2024,12,16.056,74.952
1850_9,2024,12,47.294,2.702
1850_10,2024,12,4.222,357.404
Nové_1,2024,12,,
Nové_2,2024,12,,
Nové_3,2024,12,,
Nové_4,2024,12,,
Nové_5,2024,12,,
Nové_6,2024,12,,
Nové_7,2024,12,,
Nové_8,2024,12,,
Nové_9,2024,12,,
Nové_10,2024,12,,
1852_1,2024,12,,576.312
1852_2,2024,12,53.409,314.552
1852_3,2024,12,25.735,459.766
1852_4,2024,12,72.049,506.213
1852_5,2024,12,61.01,314.985
1852_6,2024,12,30.951,435.559
1852_7,2024,12,53.598,60.945
1852_8,2024,12,24.092,464.177
1852_9,2024,12,31.794,120.553
1852_10,2024,12,75.11,362.081
1853_1,2024,12,,681.208
1853_2,2024,12,63.385,374.776
1853_3,2024,12,18.928,253.555
1853_4,2024,12,46.913,248.363
1853_5,2024,12,20.852,393.043
1853_6,2024,12,20.087,216.426
1853_7,2024,12,29.189,542.297
1853_8,2024,12,56.159,341.374
1853_9,2024,12,40.132,188.598
1853_10,2024,12,46.407,191.288
1854_1,2024,12,,325.996
1854_2,2024,12,50.515,266.566
1854_3,2024,12,72.397,349.848
1854_4,2024,12,80.77,331.89
1854_5,2024,12,24.163,0.643
1854_6,2024,12,6.71,424.951
1854_7,2024,12,21.9,141.492
1854_8,2024,12,15.669,322.8
1854_9,2024,12,57.194,602.928
1854_10,2024,12,71.245,0.382
1855_1,2024,12,,657.648
1855_2,2024,12,88.737,788.496
1855_3,2024,12,70.481,194.066
1855_4,2024,12,41.049,58.087
1855_5,2024,12,6.031,288.62
1855_6,2024,12,38.718,169.59
1855_7,2024,12,69.13,124.749
1855_8,2024,12,9.672,111.07
1855_9,2024,12,31.563,332.143
1855_10,2024,12,47.132,787.045
1856_1,2024,12,,781.528
1856_2,2024,12,10.876,285.543
